Cat1;Cat1Description;Group
SECRG;Secretary-General;2 League of Nations
NGO;Individuals and Non-Governmental Organisations;4 Others outside the League of Nations
LONO;League of Nations Others;2 League of Nations
GOV;Governments or administrations;4 Others outside the League of Nations
EDUC;Educational Institutions;4 Others outside the League of Nations
SECRS;International Bureaux Section Secretariat;1 Intellectual Cooperation within the League of Nations
IICI;International Institute of Intellectual Cooperation;3 Intellectual Cooperation outside the League of Nations
CICI;International Committee on Intellectual Cooperation;1 Intellectual Cooperation within the League of Nations
JUR;Legal Section;2 League of Nations
UNI;Universities and Research Institutions;4 Others outside the League of Nations
FINECO;Economic and Financial Section;4 Others outside the League of Nations
ETU;Student's Organisations;4 Others outside the League of Nations
FINADMIN;Financial Administration;2 League of Nations
UNK;Unknown;4 Others outside the League of Nations
ARTS;Arts and Letters Sub-Committee;1 Intellectual Cooperation within the League of Nations
RELUN;University Relations Sub-Committee;1 Intellectual Cooperation within the League of Nations
COMNAT;National Commissions of Intellectual Cooperation;3 Intellectual Cooperation outside the League of Nations
BIBLIO;Bibliography Sub-Committee;1 Intellectual Cooperation within the League of Nations
DRINT;Intellectual Rights Sub-Committee;1 Intellectual Cooperation within the League of Nations
IICE;International Institute for Educational Cinematography;3 Intellectual Cooperation outside the League of Nations
SOC;Social Section;2 League of Nations
CULTURE;Cultural Institutions;4 Others outside the League of Nations
DELSDN;Delegates to the League of Nations;4 Others outside the League of Nations
DIPLO;Diplomats;4 Others outside the League of Nations
OIT;International Labour Organisation;2 League of Nations
INFO;Information Section;2 League of Nations
ADMIN;Aministrative Commissions and Minorities Section;2 League of Nations
TRANSIT;Transit Section;2 League of Nations
FEM;Women's Organisations;4 Others outside the League of Nations
JEUNE;Youth Questions Sub-Committee;1 Intellectual Cooperation within the League of Nations
INTERN;Internal Services;2 League of Nations
PUBLI;Publications Service;2 League of Nations
DELIICI;Delegates to the Institute of Intellectual Cooperation;4 Others outside the League of Nations
LIB;Library;2 League of Nations
MANDAT;Mandates Section;2 League of Nations
DISTRI;Distribution Service;2 League of Nations
SANTE;Health Section;2 League of Nations
OIM;Museums International Office;3 Intellectual Cooperation outside the League of Nations
IIUDP;International Institute for the Unification of Private Law;3 Intellectual Cooperation outside the League of Nations
POLITIC;Political Section;2 League of Nations